Date,ProductID,CustomerID,SupplierID,ShipperID,QuantitySold,TotalAmount,DiscountAmount,NetAmount
2022-10-17,24,86,8,3,88,34018.16,67.27,33950.89
2022-10-07,11,87,14,18,39,25741.95,187.03,25554.92
2023-04-22,58,88,10,7,90,62405.1,45.74,62359.36
2023-08-04,18,89,4,10,61,39717.71,62.71,39655.0
2023-06-19,5,90,11,14,76,49578.6,157.95,49420.65
2022-09-15,56,91,10,9,45,2080.35,12.51,2067.84
2023-03-01,49,92,6,16,81,3744.63,1.13,3743.5
2023-05-14,8,93,25,6,62,4216.62,9.58,4207.04
2023-03-29,17,94,24,5,50,34669.5,139.61,34529.89
2023-09-25,19,95,1,10,74,62174.060000000005,60.16,62113.9
2023-05-12,59,96,5,4,53,52741.89,268.27,52473.62
2022-10-12,27,97,19,18,41,18904.69,88.94,18815.75
2023-01-18,60,98,24,11,48,45673.44,234.59,45438.850000000006
2022-12-30,61,99,6,5,16,15224.48,220.89,15003.59
2022-07-22,62,100,18,18,67,62330.1,41.67,62288.43
2022-07-02,17,101,14,4,93,64485.27,198.55,64286.72
2023-03-22,18,102,3,15,1,651.11,109.18,541.9300000000001
2022-08-22,63,103,28,14,79,5372.79,17.68,5355.11
2021-10-18,43,104,4,8,91,39295.62,93.94,39201.68
2023-06-11,64,105,11,10,90,78556.5,125.79,78430.71
2022-06-23,65,106,14,5,68,67668.84,296.11,67372.73
2023-03-28,66,107,23,4,23,20075.55,85.24,19990.31
2022-12-21,60,108,29,18,48,45673.44,68.75,45604.69
2022-08-28,41,109,17,7,33,32839.29,251.34,32587.95
2022-03-01,8,110,25,17,83,5644.830000000001,14.43,5630.400000000001
2021-10-31,67,111,24,14,98,42318.36,102.45,42215.91
2022-12-31,29,112,28,10,18,11557.98,155.14,11402.84
2022-06-02,16,113,23,17,3,1383.27,22.37,1360.9
2023-03-26,5,114,7,12,99,64582.65,89.62,64493.03
2021-10-10,18,115,6,7,8,5208.88,38.98,5169.900000000001
2023-02-17,43,116,10,5,83,35841.06,40.16,35800.899999999994
2022-09-07,59,117,17,3,77,76625.01,65.38,76559.62999999999
2022-03-18,49,118,5,1,92,4253.16,4.91,4248.25
2021-12-08,68,119,17,5,56,36962.8,142.31,36820.49
2022-07-19,4,120,7,15,84,30576.84,96.6,30480.24
2023-09-16,24,121,8,18,59,22807.63,102.27,22705.36
2023-06-12,30,122,11,18,23,8372.23,22.75,8349.48
2023-07-09,69,123,18,17,95,80505.84999999999,114.26,80391.59
2022-07-09,70,124,23,15,46,42793.8,154.36,42639.44
2023-05-21,71,125,24,12,37,32295.45,122.54,32172.91
2022-09-12,72,126,8,4,47,2172.81,13.79,2159.02
2022-03-24,8,127,24,12,73,4964.7300000000005,4.38,4960.35
2023-09-26,73,128,14,14,97,42010.7,52.73,41957.97
2021-11-09,26,129,30,12,7,6109.95,2.62,6107.33
2021-12-15,60,130,10,3,35,33303.55,48.79,33254.759999999995
2023-07-15,72,131,1,5,86,3975.78,5.13,3970.65
2022-11-14,57,132,4,13,97,42010.7,27.38,41983.32000000001
2022-07-28,60,133,23,12,50,47576.5,262.55,47313.95
2022-04-18,56,134,14,3,24,1109.52,9.13,1100.39
2022-03-02,27,135,24,1,77,35503.93,28.64,35475.29
2023-06-23,39,136,23,3,56,55727.28,51.81,55675.47
2023-05-05,74,137,10,16,30,8058.3,47.64,8010.66
2022-03-24,56,138,25,1,33,1525.59,11.65,1513.9399999999998
2022-04-09,26,139,8,14,45,39278.25,188.1,39090.15
2022-06-14,75,140,3,1,93,64485.27,167.95,64317.32
2023-06-19,44,141,24,2,27,6178.139999999999,17.54,6160.599999999999
2023-07-19,76,142,15,17,87,75937.95,228.53,75709.42
2022-01-14,22,143,10,1,13,3491.9300000000003,46.02,3445.9100000000003
2022-09-29,13,144,15,6,48,44654.4,11.34,44643.06
2022-07-28,56,145,18,12,64,2958.72,3.62,2955.1
2023-06-28,13,146,15,11,97,90239.1,59.84,90179.26
2023-06-18,57,147,18,18,48,20788.800000000003,104.37,20684.430000000004
2022-04-11,59,148,12,10,50,49756.5,65.18,49691.32
2023-02-21,77,149,12,6,96,63364.8,159.62,63205.17999999999
2022-04-22,42,150,31,14,23,1564.23,20.04,1544.19
2023-01-25,43,151,7,12,46,19863.72,91.12,19772.6
2023-05-01,15,152,3,2,42,35592.06,176.99,35415.07
2023-02-05,19,153,24,11,58,48731.02,86.96,48644.060000000005
2023-09-06,19,154,7,12,57,47890.83,0.85,47889.98
2022-05-03,78,155,5,7,96,21966.72,30.39,21936.33
2022-11-22,27,156,9,2,81,37348.29,114.7,37233.59
2023-01-29,13,157,17,7,67,62330.1,263.1,62067.0
2023-03-16,4,158,14,3,32,11648.32,17.98,11630.34
2021-12-10,79,159,5,7,85,56104.24999999999,6.12,56098.12999999999
2022-10-24,80,160,21,12,59,37884.49,143.95,37740.54
2023-05-01,81,161,14,10,92,24712.120000000003,44.23,24667.890000000003
2022-04-18,51,162,10,12,6,3914.1,174.31,3739.79
2022-02-03,15,163,3,9,74,62709.82,228.11,62481.71
2021-12-24,46,164,7,12,76,48800.36,181.03,48619.33
2021-11-07,82,165,1,16,62,22568.62,88.97,22479.65
2023-03-02,83,166,9,16,60,52371.0,67.88,52303.12
2022-04-10,84,167,8,18,21,1428.21,7.75,1420.46
2021-11-19,8,168,9,11,92,6256.92,7.01,6249.91
2023-07-01,44,169,24,12,7,1601.74,4.22,1597.52
2022-01-21,27,170,7,7,57,26282.13,75.09,26207.04
2022-01-13,17,171,18,14,5,3466.95,10.52,3456.43
2022-04-04,18,172,14,2,58,37764.38,170.06,37594.32
2022-05-04,29,173,31,13,27,17336.97,151.22,17185.75
2023-04-07,85,174,14,3,16,11094.24,191.27,10902.97
2022-10-08,39,175,3,9,97,96527.61,260.46,96267.15
2022-03-29,4,176,23,11,42,15288.42,81.35,15207.07
2022-11-04,11,177,8,9,57,37622.85,105.11,37517.74
2022-01-07,56,178,3,18,70,3236.1,4.05,3232.05
2023-08-09,4,179,9,15,50,18200.5,36.27,18164.23
2023-04-13,44,180,25,13,63,14415.66,50.54,14365.12
2023-02-14,19,181,6,4,41,34447.79,129.28,34318.51
2021-12-11,43,182,12,15,68,29363.76,114.3,29249.46
2023-06-09,57,183,21,12,69,29883.9,4.96,29878.94
2023-07-03,26,184,11,6,89,77683.65000000001,54.29,77629.36000000002
2021-10-30,86,185,8,2,98,63808.78,163.79,63644.99
2023-01-31,19,186,14,5,25,21004.75,190.03,20814.72
2021-11-11,84,187,19,6,4,272.04,0.06,271.98
2023-01-26,87,188,11,8,71,46863.55,56.82,46806.73
2022-10-06,88,189,17,17,25,21185.75,240.12,20945.63
2021-10-15,43,190,23,8,82,35409.24,14.98,35394.259999999995
2023-02-21,66,191,9,7,55,48006.75,67.43,47939.32
2022-12-10,27,192,19,18,42,19365.78,60.64,19305.14
2021-11-28,13,193,10,2,16,14884.8,108.56,14776.24
2022-01-25,17,194,1,14,37,25655.43,142.09,25513.34
2022-10-23,30,195,6,1,39,14196.39,92.25,14104.14
2022-10-27,18,196,19,18,81,52739.91,123.3,52616.61
2022-12-02,89,197,10,10,25,9664.25,67.35,9596.9
2023-09-02,90,198,10,14,30,19533.3,66.15,19467.15
2023-02-22,83,199,21,14,19,16584.15,167.77,16416.38
2023-02-24,39,200,7,12,15,14926.95,241.66,14685.29
2022-11-28,27,201,32,11,12,5533.08,59.21,5473.87
2023-04-01,29,202,30,12,88,56505.68,185.41,56320.27
2022-09-07,57,203,21,2,45,19489.5,11.56,19477.94
2023-04-25,64,204,23,2,53,46261.05,51.44,46209.61
2022-06-13,33,205,15,1,85,55344.35,169.45,55174.9
2023-06-26,91,206,8,4,62,26772.84,12.3,26760.54
2022-12-06,44,207,17,14,57,13042.74,50.21,12992.53
2023-09-23,22,208,6,14,79,21220.19,37.92,21182.270000000004
2022-05-04,24,209,12,10,94,36337.58,103.49,36234.09
2023-09-22,26,210,11,3,33,28804.05,202.58,28601.47
2023-08-21,57,211,3,16,50,21655.0,100.91,21554.09
2023-02-19,1,212,14,16,100,65235.0,109.86,65125.14
2023-02-10,92,213,5,8,29,25312.65,157.99,25154.66
2022-09-27,5,214,3,3,99,64582.65,117.01,64465.64
2022-11-01,8,215,12,3,80,5440.8,13.39,5427.41
2022-09-18,11,216,10,4,61,40263.05,25.45,40237.6
2022-10-08,93,217,5,11,71,45589.81,80.45,45509.36
2022-11-10,94,218,12,8,76,27664.76,98.42,27566.34
2022-07-21,81,219,24,3,14,3760.54,62.41,3698.13
2022-11-13,95,220,32,5,88,58084.4,50.63,58033.77
2022-05-20,43,221,3,10,39,16840.98,93.42,16747.56
2021-11-09,81,222,20,8,25,6715.25,46.98,6668.27
2022-11-06,96,223,9,5,28,23728.04,70.78,23657.26
2022-01-12,83,224,23,7,53,46261.05,4.94,46256.11
2021-09-29,17,225,6,11,20,13867.8,129.32,13738.48
2022-03-20,22,226,17,15,11,2954.71,41.5,2913.21
2022-10-17,12,227,1,17,12,10082.28,75.56,10006.72
2022-04-03,26,228,8,6,81,70700.85,212.09,70488.76000000001
2023-08-05,88,229,18,8,28,23728.04,122.03,23606.01
2021-11-24,86,230,7,9,38,24742.18,29.41,24712.77
2023-04-01,54,231,8,6,81,18534.42,48.53,18485.89
2022-03-20,56,232,12,13,35,1618.05,7.6,1610.45
2022-06-09,97,233,6,17,65,41737.15,105.74,41631.41
2023-09-12,5,234,23,14,54,35226.9,26.56,35200.340000000004
2023-02-07,98,235,12,8,15,10400.85,97.92,10302.93
2022-08-04,99,236,21,8,96,80658.24,191.04,80467.20000000001
2022-11-28,24,237,6,10,33,12756.81,48.52,12708.29
2022-05-20,3,238,7,7,94,36337.58,58.07,36279.51
2022-01-22,27,239,17,10,75,34581.75,48.75,34533.0
2022-09-08,44,240,1,5,49,11212.18,12.41,11199.77
2021-11-01,73,241,23,10,14,6063.400000000001,19.83,6043.570000000001
2022-04-08,17,242,12,17,37,25655.43,207.85,25447.58
2021-11-26,44,243,5,8,88,20136.16,43.78,20092.38
2021-11-19,7,244,25,12,33,21527.55,96.19,21431.36
2022-09-25,89,245,23,7,68,26286.76,68.83,26217.93
2023-07-26,57,246,21,12,100,43310.0,18.8,43291.2
2023-04-04,43,247,24,8,81,34977.42,51.01,34926.41
2021-10-22,100,248,14,15,3,1159.71,31.97,1127.74
2023-08-23,8,249,17,9,90,6120.900000000001,8.08,6112.820000000001
2022-06-20,101,250,21,16,85,72031.55,89.39,71942.16
2022-01-15,59,251,23,4,39,38810.07,264.79,38545.28
2022-11-08,81,252,16,18,75,20145.75,61.96,20083.79
2023-06-08,24,253,17,15,94,36337.58,9.72,36327.86
2022-04-09,44,254,10,1,33,7551.059999999999,24.35,7526.709999999999
2022-03-20,59,255,21,11,60,59707.8,25.88,59681.920000000006
2022-05-11,29,256,18,8,5,3210.55,146.41,3064.1400000000003
2022-11-08,44,257,17,15,18,4118.76,41.78,4076.98
2023-06-11,4,258,23,1,82,29848.82,10.92,29837.9
2022-12-16,78,259,7,4,75,17161.5,5.7,17155.8
2023-05-06,82,260,24,16,83,30212.83,35.24,30177.59
2022-08-14,17,261,9,14,53,36749.67,138.23,36611.44
2021-11-26,27,262,3,3,55,25359.95,8.03,25351.92
2022-07-30,102,263,9,7,17,7362.700000000001,17.25,7345.450000000001
2022-07-16,32,264,12,9,97,42010.7,58.99,41951.71000000001
2023-04-09,45,265,11,3,3,2542.29,51.53,2490.76
2021-10-09,69,266,12,10,6,5084.58,134.3,4950.28
2022-04-26,12,267,33,16,75,63014.25000000001,125.01,62889.240000000005
2022-10-23,43,268,3,16,69,29795.58,31.51,29764.07
2021-09-29,58,269,3,6,62,42990.18,95.97,42894.21
2023-06-08,103,270,23,4,28,26642.84,38.9,26603.94
2023-04-15,104,271,17,12,94,89443.81999999999,107.03,89336.79
2021-10-29,44,272,11,14,31,7093.42,25.68,7067.74
2021-12-24,105,273,24,17,35,30549.75,60.92,30488.83
2022-06-07,4,274,1,4,8,2912.08,102.57,2809.51
2022-10-03,106,275,4,11,78,50084.58,128.33,49956.25
2022-11-15,24,276,11,7,81,31312.17,2.4,31309.77
2023-05-05,5,277,8,6,25,16308.75,157.45,16151.3
2023-02-15,107,278,3,11,92,21051.44,52.36,20999.08
2021-11-13,38,279,19,18,29,10556.29,6.81,10549.48
2022-05-23,108,280,24,17,56,36531.6,114.92,36416.68
2022-11-18,109,281,5,5,21,20897.73,102.95,20794.78
2022-05-14,22,282,17,4,67,17996.870000000003,8.07,17988.800000000003
2023-04-04,29,283,8,2,2,1284.22,190.4,1093.82
2021-10-24,24,284,25,13,20,7731.4,69.73,7661.67
2023-03-04,110,285,18,15,8,5547.12,137.02,5410.099999999999
2023-02-16,24,286,17,18,28,10823.96,81.24,10742.72
2021-12-08,111,287,1,7,82,76284.59999999999,189.6,76094.99999999999
2023-07-01,44,288,12,5,27,6178.139999999999,53.14,6124.999999999999
2023-07-11,77,289,7,11,7,4620.349999999999,154.16,4466.19
2023-05-29,13,290,4,15,94,87448.2,183.48,87264.72
2023-06-20,33,291,6,7,82,53391.02,160.17,53230.850000000006
2023-02-24,13,292,34,9,96,89308.79999999999,159.42,89149.37999999999
2022-07-28,107,293,17,12,21,4805.22,65.96,4739.26
2022-07-01,11,294,3,16,16,10560.8,51.46,10509.34
2022-10-22,29,295,7,1,73,46874.03,147.07,46726.96
2022-02-17,22,296,10,1,1,268.61,27.42,241.19
2022-09-05,44,297,19,16,39,8923.98,67.54,8856.439999999999
2022-05-16,4,298,9,5,20,7280.2,107.33,7172.87
2023-09-08,26,299,18,15,44,38405.4,165.66,38239.74
2023-08-10,29,300,11,14,74,47516.14,137.03,47379.11
2022-11-27,56,301,24,12,99,4576.77,0.85,4575.919999999999
2022-07-30,24,302,15,9,73,28219.61,16.49,28203.12
2022-01-23,112,303,7,2,24,16641.36,190.47,16450.89
2023-03-22,17,304,7,14,52,36056.28,44.89,36011.39
2022-02-19,113,305,6,16,100,26861.0,10.37,26850.63
2023-05-01,11,306,10,4,80,52804.0,6.66,52797.34
2023-04-25,27,307,1,9,85,39192.65,112.87,39079.78
2023-08-01,114,308,11,13,99,92099.7,183.63,91916.07
2023-02-23,29,309,29,9,68,43663.48,16.14,43647.34
2022-05-18,115,310,15,17,95,61855.45,26.91,61828.54
2023-01-05,24,311,11,7,91,35177.87,105.3,35072.57
2022-09-04,11,312,11,8,75,49503.75,109.79,49393.96
2022-08-13,24,313,4,13,66,25513.62,50.93,25462.69
2023-04-27,56,314,2,5,81,3744.63,4.82,3739.81
2023-02-09,19,315,15,9,14,11762.66,41.15,11721.51
2023-01-25,11,316,15,12,43,28382.15,89.04,28293.11
2023-01-07,116,317,5,9,79,50726.69,158.18,50568.51
2023-01-20,117,318,31,8,90,41498.1,126.98,41371.12
2022-06-03,13,319,17,4,78,72563.4,113.37,72450.03
2022-03-13,31,320,11,14,89,38545.9,102.45,38443.45
2022-06-28,118,321,10,6,99,98517.87,218.15,98299.72
2023-05-14,119,322,9,17,80,5440.8,17.79,5423.01
2022-08-10,82,323,14,16,57,20748.57,102.09,20646.48
2022-10-04,43,324,7,16,75,32386.5,19.13,32367.37
2023-02-23,56,325,11,17,15,693.4499999999999,4.12,689.3299999999999
2021-12-05,29,326,19,5,91,58432.01,133.1,58298.91
2022-09-18,120,327,1,4,1,840.19,161.52,678.6700000000001
2023-07-16,49,328,14,2,74,3421.02,9.71,3411.31
2022-10-10,17,329,12,1,9,6240.51,5.51,6235.0
2022-08-29,62,330,21,1,69,64190.7,102.06,64088.64
2022-08-22,121,331,24,15,72,66981.59999999999,12.41,66969.18999999999
2021-10-25,122,332,12,11,44,19000.08,97.74,18902.34
2023-08-06,4,333,19,3,60,21840.6,82.72,21757.88
2022-03-14,51,334,6,17,42,27398.7,151.38,27247.32
2023-03-04,75,335,12,7,69,47843.91,48.92,47794.99
2021-11-19,5,336,17,18,43,28051.05,2.71,28048.34
2023-05-10,123,337,35,3,45,29355.75,38.01,29317.74
2022-05-16,114,338,36,13,4,3721.2,169.24,3551.96
2023-03-05,124,339,14,1,35,8008.7,29.75,7978.95
2022-07-14,125,340,14,12,13,5025.41,11.46,5013.95
2022-12-01,33,341,6,1,94,61204.34,189.37,61014.97
2022-12-22,8,342,14,7,100,6801.000000000001,6.14,6794.860000000001
2022-08-18,15,343,4,2,42,35592.06,26.1,35565.96
2023-04-03,15,344,1,9,61,51693.23,193.87,51499.35999999999
2022-03-02,24,345,32,8,31,11983.67,83.1,11900.57
2022-05-23,4,346,32,4,45,16380.45,75.01,16305.44
2022-07-25,24,347,8,13,92,35564.44,18.8,35545.64
2021-10-07,13,348,21,14,40,37212.0,278.43,36933.57
2023-05-27,126,349,2,7,97,37497.29,20.96,37476.33
2021-10-30,127,350,3,10,50,33002.5,93.72,32908.78
2022-01-18,44,351,11,4,10,2288.2,18.98,2269.22
2022-12-07,17,352,1,16,92,63791.88,29.91,63761.97
2022-09-16,22,353,8,14,56,15042.16,56.66,14985.5
2022-02-01,5,354,8,17,50,32617.5,13.41,32604.09
2022-08-24,8,355,4,1,78,5304.780000000001,16.55,5288.2300000000005
2022-07-23,56,356,18,9,73,3374.79,0.3,3374.49
2022-03-16,128,357,11,16,28,1904.28,16.75,1887.53
2022-01-26,24,358,6,2,10,3865.7,37.0,3828.7
2022-12-19,8,359,25,10,89,6052.89,17.51,6035.38
2022-05-03,114,360,7,15,58,53957.4,236.27,53721.13
2023-04-03,129,361,18,14,95,36724.15,20.3,36703.85
2023-06-04,39,362,8,1,61,60702.93,223.97,60478.96
2023-04-21,93,363,23,10,69,44305.59,119.89,44185.7
2023-02-10,130,364,10,3,57,13042.74,58.56,12984.18
2023-07-08,26,365,21,15,55,48006.75,56.48,47950.27
2022-05-13,5,366,4,15,72,46969.2,168.5,46800.7
2023-08-21,98,367,18,2,14,9707.46,171.48,9535.98
2022-02-07,17,368,2,5,65,45070.35,79.68,44990.67
2022-06-28,17,369,18,4,79,54777.81,139.47,54638.34
2022-02-28,56,370,24,4,91,4206.929999999999,7.83,4199.099999999999
2022-03-05,53,371,5,7,42,27346.62,170.38,27176.24
2022-05-18,19,372,25,9,39,32767.410000000003,240.7,32526.710000000003
2022-06-15,131,373,1,16,57,26282.13,62.12,26220.01
2021-12-25,113,374,15,12,19,5103.59,57.31,5046.28
2022-04-07,15,375,1,16,4,3389.72,163.29,3226.43
2023-08-19,56,376,15,5,36,1664.28,6.57,1657.71
2022-12-10,11,377,25,11,10,6600.5,117.59,6482.91
2023-06-17,85,378,10,6,4,2773.56,57.06,2716.5
2023-06-05,4,379,15,2,26,9464.26,58.17,9406.09
2021-11-29,57,380,10,6,60,25986.0,77.4,25908.6
2022-12-12,43,381,21,8,56,24181.92,22.22,24159.7
2022-07-08,29,382,19,13,1,642.11,95.52,546.59
2022-04-27,60,383,7,5,31,29497.43,129.01,29368.42
2023-04-24,132,384,8,16,63,16922.43,35.58,16886.85
2023-07-01,26,385,5,10,52,45388.2,188.88,45199.32000000001
2023-08-31,101,386,3,17,91,77116.12999999999,12.89,77103.23999999999
2023-02-16,48,387,6,16,61,56748.3,32.72,56715.58
2022-04-03,8,388,5,15,87,5916.870000000001,18.13,5898.740000000001
2021-10-14,26,389,7,16,100,87285.0,248.39,87036.61
2022-09-07,24,390,1,18,57,22034.49,4.83,22029.66
2021-12-03,43,391,23,4,5,2159.1,42.28,2116.82
2023-09-10,8,392,14,17,28,1904.28,10.81,1893.4700000000005
2022-01-26,60,393,11,1,57,54237.21,237.19,54000.02
2023-01-23,31,394,11,2,100,43310.0,89.34,43220.66
2023-02-10,125,395,1,13,15,5798.55,114.94,5683.610000000001
2023-02-17,27,396,18,18,53,24437.77,93.32,24344.45
2023-02-19,39,397,10,3,92,91551.96,198.23,91353.73
2022-05-09,5,398,15,3,80,52188.0,97.43,52090.57
2023-07-05,17,399,17,5,42,29122.38,50.93,29071.45
2023-05-03,64,400,19,13,32,27931.2,150.61,27780.59
2021-12-08,133,401,14,17,79,21220.19,48.14,21172.050000000003
2023-08-07,13,402,12,2,76,70702.8,250.2,70452.6
2022-04-25,8,403,11,10,29,1972.29,15.65,1956.64
2023-02-04,56,404,24,4,19,878.3699999999999,5.24,873.1299999999999
2023-09-05,126,405,19,7,74,28606.18,18.18,28588.0
2023-08-09,116,406,1,7,97,62284.67,147.23,62137.44
2022-07-07,50,407,10,16,74,70413.22,177.89,70235.33
2022-03-07,27,408,17,18,52,23976.68,81.03,23895.65
2023-06-20,119,409,1,1,63,4284.63,14.08,4270.55
2021-10-28,15,410,8,7,50,42371.5,66.24,42305.26
2023-04-17,1,411,18,8,78,50883.3,189.53,50693.77
2022-06-22,11,412,19,11,16,10560.8,5.23,10555.57
2022-11-29,4,413,19,14,61,22204.61,3.38,22201.23
2022-12-29,29,414,8,4,86,55221.46,40.79,55180.67
2022-02-18,107,415,17,12,14,3203.48,28.76,3174.72
2021-10-26,69,416,14,2,100,84743.0,30.53,84712.47
2022-07-29,29,417,4,12,81,52010.91,68.58,51942.33
2023-06-13,43,418,15,15,85,36704.7,107.86,36596.84
2022-10-06,15,419,6,9,98,83048.14,88.05,82960.09
2022-12-09,17,420,24,9,18,12481.02,167.41,12313.61
2021-10-02,17,421,3,3,91,63098.49,146.49,62952.0
2023-05-27,134,422,37,10,34,14681.88,94.46,14587.42
2022-01-10,17,423,18,4,32,22188.48,18.86,22169.62
2023-08-10,56,424,11,16,16,739.68,4.18,735.5
2023-05-28,109,425,1,4,95,79818.05,115.26,79702.79000000001
2022-08-17,60,426,17,15,89,84686.17,233.05,84453.12
2023-08-10,13,427,12,13,10,9303.0,81.61,9221.39
2022-07-22,135,428,4,10,16,7377.44,66.24,7311.2
2022-09-15,4,429,23,18,42,15288.42,33.64,15254.78
2022-02-14,87,430,11,12,61,40263.05,62.52,40200.53
2021-11-29,13,431,7,18,56,52096.8,93.03,52003.77
2022-07-08,57,432,12,2,28,12126.8,38.85,12087.95
2023-09-21,118,433,22,6,40,39805.2,286.96,39518.24
2021-10-07,11,434,26,8,78,51483.9,125.39,51358.51
2023-02-20,13,435,18,3,23,21396.9,50.87,21346.03
2023-08-08,130,436,6,9,100,22882.0,56.94,22825.06
2023-02-19,26,437,3,7,25,21821.25,202.72,21618.53
2021-11-09,135,438,11,10,18,8299.619999999999,76.93,8222.689999999999
